id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
JBJ4141,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Oreithales integrifolia,2,3,2,"NA",0.777,0.217,0.513,0.465,0.424,9.3532,2
JBK7735,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Cortaderia peluda,67,3,1,"NA",0.885,0.512,0.332,0.361,0.371,27.8625,1
JBL0529,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Cortaderia aserrada,27,1,1,"NA",0.282,0.179,0.298,0.34,0.327,9.7311,1
JBM3597,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Carex duro,2,2,10,"NA",0.078,0.035,0.318,0.276,0.28,2.2977,10
JBN3047,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Antennaria linearifolia,2,2,5,"NA",0.072,0.029,0.186,0.129,0.157,4.0796,5
JBO7457,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Vaccinium floribundum,2,2,10,"NA",0.196,0.075,0.223,0.333,0.335,6.7197,10
JBP5180,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Luzula wide,7,1,2,"NA",0.126,0.044,0.2,0.2,0.202,5.2611,2
JBQ4261,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Cortaderia peluda,67,2,1,"NA",1.229,0.678,0.349,0.352,0.425,36.7861,1
JBR0732,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Rhynchospora macrochaeta,27,3,1,"NA",0.298,0.149,0.246,0.305,0.296,11.6302,1
JBS3920,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Geranium sessiliflorum,1.5,1,4,"NA",0.264,0.092,0.161,0.185,0.19,7.9712,4
JBT4276,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Antennaria linearifolia,3,1,5,"NA",0.137,0.067,0.237,0.184,0.214,6.2117000000000004,5
JBU9859,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Geranium sessiliflorum,2,3,4,"NA",0.151,0.061,0.216,0.203,0.182,5.5036,4
JBV1059,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Oreithales integrifolia,1.3,2,2,"NA",0.563,0.179,0.486,0.416,0.513,7.636,2
JBW6082,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Carex tristicha,8,1,3,"NA",0.098,0.057,0.2,0.216,0.231,5.8183,3
JBX6604,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Werneria nubigena,6,2,1,"NA",0.402,0.096,0.455,0.453,0.431,7.5646,2
JBY0633,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Hypericum andinum,14,1,NA,Bulk,0.301,0.137,0.205,0.22,0.209,15.3313,NA
JBZ8944,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Eriosorus cheilanthoides,27.5,1,1,"NA",0.459,0.13,0.467,0.49,0.437,8.0288,1
JCA1403,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Cortaderia peluda,65,1,1,"NA",0.507,0.306,0.275,0.292,0.333,19.5362,1
JCB8463,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Lycopodium clavatum,5,1,NA,Bulk,0.214,0.136,0.213,0.165,0.162,16.0361,NA
JCC9927,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Jamesonia alstonii,17,1,1,"NA",0.158,0.065,0.252,0.211,0.265,3.3786,1
JCD0793,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Luzula wide,10,3,2,"NA",0.155,0.064,0.212,0.21,0.22,5.9175,2
JCE9591,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Eriosorus cheilanthoides,27.5,3,1,"NA",0.678,0.176,0.246,0.37,0.411,13.9493,1
JCF8547,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Carex tristicha,6,3,3,"NA",0.099,0.047,0.216,0.214,0.226,5.4732,3
JCG1744,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Lycopodium clavatum,8,3,NA,Bulk,0.224,0.114,0.135,0.112,0.123,14.3107,NA
